,channel,x,y
242,243,3290.0,1207.5
243,244,525.0,577.5
244,245,3150.0,945.0
245,246,1120.0,1277.5
246,247,3377.5,962.5
247,248,665.0,1382.5
248,249,2537.5,1050.0
249,250,437.5,1382.5
250,251,3360.0,962.5
251,252,875.0,857.5
252,253,3395.0,962.5
253,254,52.5,1400.0
254,255,2362.5,1330.0
255,256,735.0,1190.0
256,258,280.0,1785.0
257,260,437.5,927.5
258,261,2642.5,805.0
259,262,35.0,1732.5
260,264,157.5,245.0
261,265,3412.5,420.0
262,266,280.0,1767.5
263,268,420.0,210.0
264,270,35.0,1715.0
265,271,2607.5,1400.0
266,272,157.5,262.5
267,273,2677.5,525.0
268,274,857.5,1487.5
269,276,682.5,700.0
270,278,525.0,1820.0
271,279,2957.5,1680.0
272,280,525.0,560.0
273,281,2677.5,892.5
274,282,105.0,1557.5
275,283,2590.0,1417.5
276,284,1137.5,910.0
277,286,682.5,1400.0
278,287,2747.5,1697.5
279,288,17.5,420.0
280,289,2992.5,577.5
281,290,402.5,1907.5
282,292,700.0,665.0
283,294,665.0,1960.0
284,295,2782.5,1715.0
285,296,717.5,682.5
286,298,105.0,1592.5
287,299,3167.5,1172.5
288,300,927.5,997.5
289,301,3430.0,437.5
290,302,385.0,1925.0
291,304,175.0,157.5
292,305,3115.0,192.5
293,306,630.0,1995.0
294,308,857.5,875.0
295,310,472.5,1627.5
296,311,3080.0,1977.5
297,312,1120.0,927.5
298,314,840.0,1487.5
299,316,157.5,122.5
300,318,87.5,1575.0
301,320,140.0,122.5
302,321,3255.0,577.5
303,322,280.0,1662.5
304,324,1417.5,455.0
305,326,52.5,1715.0
306,327,3517.5,1767.5
307,328,35.0,385.0
308,330,437.5,1592.5
309,332,437.5,192.5
310,334,542.5,1942.5
311,336,157.5,280.0
312,338,577.5,1872.5
313,340,752.5,1190.0
314,342,105.0,1732.5
315,343,3517.5,1785.0
316,344,175.0,140.0
317,346,455.0,1592.5
318,348,910.0,997.5
319,349,3115.0,210.0
320,350,385.0,1907.5
321,352,122.5,245.0
322,354,297.5,1785.0
323,356,35.0,420.0
324,358,140.0,1767.5
325,364,420.0,175.0
326,366,17.5,1715.0
327,368,1137.5,892.5
328,370,70.0,1382.5
329,372,0.0,385.0
330,373,3237.5,560.0
331,374,770.0,1487.5
332,376,0.0,402.5
333,377,2835.0,612.5
334,378,455.0,1627.5
335,380,140.0,280.0
336,382,52.5,1750.0
337,384,770.0,192.5
338,385,3237.5,542.5
339,386,577.5,1837.5
340,387,2905.0,1592.5
341,388,402.5,192.5
342,389,2835.0,595.0
343,390,402.5,1890.0
344,391,2555.0,1715.0
345,392,402.5,175.0
346,393,2870.0,595.0
347,394,455.0,1417.5
348,395,2957.5,1522.5
349,396,787.5,122.5
350,397,2677.5,822.5
351,398,560.0,1960.0
352,399,2957.5,1540.0
353,400,997.5,35.0
354,401,3237.5,892.5
355,402,367.5,1925.0
356,403,2975.0,1557.5
357,404,770.0,210.0
358,405,3430.0,402.5
359,406,525.0,1855.0
360,407,2817.5,1960.0
361,408,787.5,1050.0
362,409,3010.0,577.5
363,410,420.0,1382.5
364,411,2992.5,1557.5
365,412,735.0,210.0
366,413,3097.5,210.0
367,414,315.0,1767.5
368,415,3500.0,1802.5
369,416,35.0,402.5
370,417,2152.5,665.0
371,418,385.0,1890.0
372,419,2607.5,1435.0
373,420,560.0,595.0
374,421,3097.5,192.5
375,422,735.0,1767.5
376,423,2240.0,1137.5
377,424,892.5,892.5
378,425,3132.5,175.0
379,426,280.0,1802.5
380,427,2887.5,1575.0
381,428,1172.5,280.0
382,429,2975.0,542.5
383,430,577.5,1977.5
384,431,2555.0,1277.5
385,432,927.5,175.0
386,433,3255.0,560.0
387,434,542.5,1977.5
388,435,3062.5,1190.0
389,436,962.5,17.5
390,438,297.5,1680.0
391,439,2835.0,997.5
392,440,857.5,857.5
393,441,2765.0,262.5
394,442,17.5,1750.0
395,443,3132.5,910.0
396,444,752.5,892.5
397,445,3272.5,542.5
398,446,262.5,1680.0
399,447,2975.0,1680.0
400,448,717.5,700.0
401,449,2870.0,1015.0
402,450,770.0,1522.5
403,451,2590.0,1400.0
404,452,560.0,560.0
405,453,3395.0,980.0
406,454,367.5,1907.5
407,455,3115.0,1277.5
408,456,945.0,980.0
409,457,2257.5,1120.0
410,458,630.0,1960.0
411,459,2800.0,1942.5
412,460,682.5,682.5
413,461,2380.0,787.5
414,462,577.5,1942.5
415,463,2992.5,1680.0
416,464,437.5,175.0
417,466,752.5,1767.5
418,467,3150.0,1242.5
419,468,175.0,122.5
420,469,2380.0,770.0
421,470,490.0,1837.5
422,471,2502.5,1522.5
423,472,140.0,245.0
424,473,2117.5,1067.5
425,474,140.0,1732.5
426,476,157.5,157.5
427,477,2537.5,1067.5
428,478,315.0,1802.5
429,479,2957.5,1557.5
430,480,140.0,157.5
431,481,3132.5,210.0
432,482,297.5,1802.5
433,483,3045.0,1960.0
434,484,122.5,262.5
435,486,105.0,1767.5
436,487,3080.0,1995.0
437,488,1400.0,490.0
438,489,3412.5,437.5
439,490,280.0,1680.0
440,491,3062.5,1977.5
441,492,787.5,1085.0
442,494,402.5,1925.0
443,495,1767.5,1400.0
444,496,805.0,1050.0
445,498,367.5,1890.0
446,499,2870.0,1557.5
447,500,560.0,577.5
448,502,122.5,1732.5
449,504,17.5,385.0
450,506,140.0,1750.0
451,507,2607.5,1417.5
452,508,140.0,140.0
453,510,647.5,1382.5
454,512,822.5,157.5
455,513,3237.5,577.5
456,514,472.5,1610.0
